name,page,guessed_category,confidence
"HaUbut, II",364,Uncategorized,0.00
Pimento,363,Uncategorized,0.00
Swedish,362,Uncategorized,0.00
Cream,68,Desserts,0.40
"Cream, Tomato",68,Desserts,0.40
German,69,Uncategorized,0.00
"Milk, I, 68 ; II",68,Uncategorized,0.00
Water,68,Uncategorized,0.00
Ciboulettes,333,Uncategorized,0.00
"Baked, I",303,Uncategorized,0.00
"Baked, II",303,Uncategorized,0.00
Broiled,302,Mains,0.40
Sliced,302,Uncategorized,0.00
Braised,207,Mains,0.40
Calves',210,Uncategorized,0.00
Broiled,209,Mains,0.40
Lyonnaise,209,Uncategorized,0.00
Where Found,192,Uncategorized,0.00
Truffles,283,Uncategorized,0.00
"Tumblers, Care of",598,Uncategorized,0.00
Boiled,254,Uncategorized,0.00
Minced,263,Mains,0.40
Roast,254,Mains,0.40
"Roast, with Chestnut Stufl&ng",255,Mains,0.40
"Roast, with Oyster Stuffing",255,Mains,0.40
"Roast, Scalloped, ^63. Roast, Soup, 120.. Roast, Swedish Style, Stuflfing",255,Mains,0.40
Creamed,304,Desserts,0.40
Mashed,304,Uncategorized,0.00
Tutti-Frutti,582,Uncategorized,0.00
Birds,229,Uncategorized,0.00
Blanquette of,231,Uncategorized,0.00
Braised Shoulder of,228,Mains,0.40
Fricandeau,229,Uncategorized,0.00
"Loin of, Jardiniere",228,Uncategorized,0.00
"Minced, on Toast",231,Mains,0.40
RagoM of,231,Uncategorized,0.00
Roast,229,Mains,0.40
Care of,281,Uncategorized,0.00
Composition of,280,Uncategorized,0.00
Cooking of,282,Uncategorized,0.00
Table for Scalding and Sterilizing,587,Uncategorized,0.00
Roast Leg of,260,Mains,0.40
Saddle of,260,Uncategorized,0.00
Vinegar,14,Uncategorized,0.00
Vitamines,2,Uncategorized,0.00
"Wafebs, Almond",494,Uncategorized,0.00
Brandy,494,Uncategorized,0.00
"English Rolled, I",494,Uncategorized,0.00
"English Rolled, II",496,Uncategorized,0.00
Rolled,494,Uncategorized,0.00
Scotch,486,Uncategorized,0.00
Swedish,492,Uncategorized,0.00
Virginia,80,Uncategorized,0.00
"Walnuts, Creamed",643,Desserts,0.40
Dipped,546,Uncategorized,0.00
Jellied,421,Uncategorized,0.00
Water,4,Uncategorized,0.00
Acidulated,597,Uncategorized,0.00
Alkaline and Mineral,4,Uncategorized,0.00
Apollinaris,4,Uncategorized,0.00
Boiled,4,Uncategorized,0.00
Distilled,4,Uncategorized,0.00
Hard,4,Uncategorized,0.00
Lithia,4,Uncategorized,0.00
Poland,4,Uncategorized,0.00
Saline,4,Uncategorized,0.00
Seltzer,4,Uncategorized,0.00
Soda,4,Uncategorized,0.00
Soft,4,Uncategorized,0.00
Sulphur,4,Uncategorized,0.00
Temperature of,4,Uncategorized,0.00
Vichy,4,Uncategorized,0.00
Dressed,328,Uncategorized,0.00
Ways of Baking,20,Uncategorized,0.00
Ways of Preparing Food for Cooking,22,Uncategorized,0.00
Processes of Milling,47,Uncategorized,0.00
White Bait Garnish,148,Uncategorized,0.00
Mountain Cream,528,Desserts,0.40
Wine Cream,417,Desserts,0.40
Plant,50,Uncategorized,0.00
ZiOABAS A LA RuSSE,380,Uncategorized,0.00
