name,page,category,tags,url,pageStatus
Vinegar candy,38,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n43,verified
Vanilla taffy,29,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n34,verified
Variety cake,32,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n37,verified
Veal soup,100,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n105,verified
Welsh rarebit,39,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n44,verified
White mountain cake,33,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n38,verified
Walnut creams,28,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n33,verified
Waffles,5,Breakfast & Brunch,,https://archive.org/details/worldsfairrecipe00land/page/n10,verified
Waffles,6,Breakfast & Brunch,,https://archive.org/details/worldsfairrecipe00land/page/n11,verified
Walnut cake,22,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n27,verified
Washington cake,22,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n27,verified
Wheat muffins,6,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n11,verified
